dataset,method,num_trees,split,iter,accuracy,f1_score
boxing2,gemma3:27b,5,50/50,0,0.591705069124424,0.5744047619047619
boxing2,gemma3:27b,5,50/50,1,0.6983082706766917,0.70050155242417
boxing2,gemma3:27b,5,50/50,2,0.7119815668202765,0.7115251897860593
boxing2,gemma3:27b,5,50/50,3,0.7534562211981566,0.7375438596491228
boxing2,gemma3:27b,5,50/50,4,0.6346691519105312,0.6333333333333333
boxing2,gemma3:27b,5,67/33,0,0.6363636363636364,0.616557734204793
boxing2,gemma3:27b,5,67/33,1,0.6071428571428572,0.5679586563307493
boxing2,gemma3:27b,5,67/33,2,0.575,0.5679586563307493
boxing2,gemma3:27b,5,67/33,3,0.7422360248447204,0.7390835579514825
boxing2,gemma3:27b,5,67/33,4,0.6677559912854031,0.6546310832025117
creditscore,no,5,33/67,0,0.9211764705882353,0.9211764705882353
creditscore,no,5,33/67,1,0.831764705882353,0.8010796221322537
creditscore,no,5,33/67,2,0.8768382352941176,0.8768382352941176
creditscore,no,5,33/67,3,0.8530701754385965,0.8530701754385965
creditscore,no,5,33/67,4,0.9064625850340136,0.9211764705882353
creditscore,no,5,50/50,0,0.861842105263158,0.8834498834498834
creditscore,no,5,50/50,1,0.9605263157894737,0.9238964992389649
creditscore,no,5,50/50,2,0.9375,0.9375
creditscore,no,5,50/50,3,0.9503968253968254,0.9503968253968254
creditscore,no,5,50/50,4,0.9417249417249417,0.9417249417249417
creditscore,no,5,67/33,0,0.8409090909090909,0.8565217391304347
creditscore,no,5,67/33,1,1.0,1.0
creditscore,no,5,67/33,2,0.855,0.8705882352941177
creditscore,no,5,67/33,3,0.98,0.9603841536614646
creditscore,no,5,67/33,4,0.9655172413793103,0.8821428571428571
creditscore,claude,5,33/67,0,0.7735294117647059,0.7788778877887789
creditscore,claude,5,33/67,1,0.7723529411764706,0.7364280094413848
creditscore,claude,5,33/67,2,0.735906862745098,0.7061403508771931
creditscore,claude,5,33/67,3,0.9007675438596491,0.8646464646464647
creditscore,claude,5,33/67,4,0.7369614512471656,0.7536764705882353
creditscore,claude,5,50/50,0,0.8486842105263157,0.8588368153585545
creditscore,claude,5,50/50,1,0.8508771929824561,0.8224251648909182
creditscore,claude,5,50/50,2,0.7749999999999999,0.7967479674796748
creditscore,claude,5,50/50,3,0.8293650793650793,0.8440748440748441
creditscore,claude,5,50/50,4,0.754079254079254,0.745906267645398
creditscore,claude,5,67/33,0,0.7954545454545454,0.8152295632698767
creditscore,claude,5,67/33,1,0.8324175824175823,0.7708333333333333
creditscore,claude,5,67/33,2,0.7925,0.8186813186813187
creditscore,claude,5,67/33,3,0.855,0.8705882352941177
creditscore,claude,5,67/33,4,0.9482758620689655,0.8363636363636364
creditscore,gemini,5,33/67,0,0.99,0.9806637806637807
creditscore,gemini,5,33/67,1,0.98,0.9620181405895691
creditscore,gemini,5,33/67,2,0.8982843137254901,0.8817647058823529
creditscore,gemini,5,33/67,3,0.9632675438596491,0.9632675438596491
creditscore,gemini,5,33/67,4,0.9897959183673469,0.9813318473112288
creditscore,gemini,5,50/50,0,0.9736842105263157,0.9480249480249481
creditscore,gemini,5,50/50,1,0.9342105263157895,0.878581835842642
creditscore,gemini,5,50/50,2,1.0,1.0
creditscore,gemini,5,50/50,3,0.9642857142857143,0.9746321664129882
creditscore,gemini,5,50/50,4,0.9871794871794872,0.971767363071711
creditscore,gemini,5,67/33,0,0.9772727272727273,0.9666329625884732
creditscore,gemini,5,67/33,1,0.9807692307692308,0.9568627450980391
creditscore,gemini,5,67/33,2,1.0,1.0
creditscore,gemini,5,67/33,3,1.0,1.0
creditscore,gemini,5,67/33,4,0.9655172413793103,0.8821428571428571
creditscore,gpt-4o,5,33/67,0,0.7641176470588236,0.7852564102564102
creditscore,gpt-4o,5,33/67,1,0.703529411764706,0.6792553191489361
creditscore,gpt-4o,5,33/67,2,0.7261029411764706,0.6925775978407558
creditscore,gpt-4o,5,33/67,3,0.6798245614035088,0.6826414042908888
creditscore,gpt-4o,5,33/67,4,0.7369614512471656,0.7536764705882353
creditscore,gpt-4o,5,50/50,0,0.6820175438596491,0.7076023391812865
creditscore,gpt-4o,5,50/50,1,0.8508771929824561,0.8224251648909182
creditscore,gpt-4o,5,50/50,2,0.7625,0.7258771929824561
creditscore,gpt-4o,5,50/50,3,0.7718253968253967,0.8023715415019763
creditscore,gpt-4o,5,50/50,4,0.8123543123543124,0.8023715415019763
creditscore,gpt-4o,5,67/33,0,0.6818181818181818,0.6944444444444444
creditscore,gpt-4o,5,67/33,1,0.7994505494505495,0.7843137254901961
creditscore,gpt-4o,5,67/33,2,0.6074999999999999,0.611764705882353
creditscore,gpt-4o,5,67/33,3,0.7925,0.8186813186813187
creditscore,gpt-4o,5,67/33,4,0.9482758620689655,0.8363636363636364
creditscore,gpt-o1,5,33/67,0,0.7152941176470589,0.7448944271374178
creditscore,gpt-o1,5,33/67,1,0.7423529411764705,0.6954545454545455
creditscore,gpt-o1,5,33/67,2,0.642156862745098,0.6326118326118326
creditscore,gpt-o1,5,33/67,3,0.8640350877192983,0.8308080808080808
creditscore,gpt-o1,5,33/67,4,0.691609977324263,0.7139573070607553
creditscore,gpt-o1,5,50/50,0,0.7521929824561404,0.7668997668997669
creditscore,gpt-o1,5,50/50,1,0.7960526315789473,0.7716894977168949
creditscore,gpt-o1,5,50/50,2,0.7,0.6710526315789473
creditscore,gpt-o1,5,50/50,3,0.8214285714285714,0.8588368153585545
creditscore,gpt-o1,5,50/50,4,0.9417249417249417,0.9417249417249417
creditscore,gpt-o1,5,67/33,0,0.8181818181818181,0.8253968253968254
creditscore,gpt-o1,5,67/33,1,0.7994505494505495,0.7843137254901961
creditscore,gpt-o1,5,67/33,2,0.7324999999999999,0.7226890756302521
creditscore,gpt-o1,5,67/33,3,0.7925,0.8186813186813187
creditscore,gpt-o1,5,67/33,4,0.9655172413793103,0.8821428571428571
creditscore,rt-us,5,33/67,0,0.6658823529411765,0.6839622641509434
creditscore,rt-us,5,33/67,1,0.6852941176470588,0.6993589743589743
creditscore,rt-us,5,33/67,2,0.7420343137254901,0.7579638752052545
creditscore,rt-us,5,33/67,3,0.6321271929824561,0.643282179768243
creditscore,rt-us,5,33/67,4,0.6111111111111112,0.6193181818181819
creditscore,rt-us,5,50/50,0,0.6425438596491229,0.6503496503496503
creditscore,rt-us,5,50/50,1,0.7017543859649122,0.6666666666666667
creditscore,rt-us,5,50/50,2,0.7,0.7076023391812865
creditscore,rt-us,5,50/50,3,0.6646825396825397,0.6875
creditscore,rt-us,5,50/50,4,0.7867132867132867,0.76
creditscore,rt-us,5,67/33,0,0.6363636363636364,0.6434573829531813
creditscore,rt-us,5,67/33,1,0.6565934065934066,0.6647314949201741
creditscore,rt-us,5,67/33,2,0.525,0.5254901960784314
creditscore,rt-us,5,67/33,3,0.7125,0.6944444444444444
creditscore,rt-us,5,67/33,4,0.6077586206896552,0.6333333333333333
