dataset,method,num_trees,iter,decision_tree,description,num_examples,max_tree_depth,temperature,split,accuracy,f1_score
bankruptcy,gpt-4o,5,2,True,False,1,2,0,33/67,0.887719298245614,0.8819444444444444
bankruptcy,gpt-4o,5,3,True,False,1,2,0,33/67,0.8642857142857143,0.85178727114211
bankruptcy,gpt-4o,5,4,True,False,1,2,0,33/67,0.7070175438596491,0.7043478260869566
bankruptcy,gpt-4o,5,0,True,False,1,2,0,50/50,0.7,0.7023809523809523
bankruptcy,gpt-4o,5,1,True,False,1,2,0,50/50,0.8044871794871795,0.7987117552334944
bankruptcy,gpt-4o,5,2,True,False,1,2,0,50/50,0.9131944444444444,0.9131944444444444
bankruptcy,gpt-4o,5,3,True,False,1,2,0,50/50,0.8116883116883117,0.8
bankruptcy,gpt-4o,5,4,True,False,1,2,0,50/50,0.6666666666666667,0.6666666666666667
bankruptcy,gpt-4o,5,0,True,False,1,2,0,67/33,0.5833333333333334,0.5502645502645502
bankruptcy,gpt-4o,5,1,True,False,1,2,0,67/33,0.7708333333333333,0.7638888888888888
bankruptcy,gpt-4o,5,2,True,False,1,2,0,67/33,0.9545454545454546,0.9377289377289377
bankruptcy,gpt-4o,5,3,True,False,1,2,0,67/33,0.8285714285714285,0.8210526315789474
bankruptcy,gpt-4o,5,4,True,False,1,2,0,67/33,0.6597222222222222,0.6357142857142857
bankruptcy,gpt-4o,5,0,True,False,1,2,0.5,33/67,0.7070175438596491,0.7043478260869566
bankruptcy,gpt-4o,5,1,True,False,1,2,0.5,33/67,0.65625,0.6210739614994933
bankruptcy,gpt-4o,5,2,True,False,1,2,0.5,33/67,0.7368421052631579,0.6964285714285714
bankruptcy,gpt-4o,5,3,True,False,1,2,0.5,33/67,0.675,0.6007226738934056
bankruptcy,gpt-4o,5,4,True,False,1,2,0.5,33/67,0.7070175438596491,0.7043478260869566
bankruptcy,gpt-4o,5,0,True,False,1,2,0.5,50/50,0.7666666666666666,0.7771836007130125
bankruptcy,gpt-4o,5,1,True,False,1,2,0.5,50/50,0.6538461538461539,0.5989304812834224
bankruptcy,gpt-4o,5,2,True,False,1,2,0.5,50/50,0.75,0.6794871794871795
bankruptcy,gpt-4o,5,3,True,False,1,2,0.5,50/50,0.7142857142857143,0.6666666666666666
bankruptcy,gpt-4o,5,4,True,False,1,2,0.5,50/50,0.6666666666666667,0.6666666666666667
bankruptcy,gpt-4o,5,0,True,False,1,2,0.5,67/33,0.7878787878787878,0.7984189723320159
bankruptcy,gpt-4o,5,1,True,False,1,2,0.5,67/33,0.6666666666666666,0.6136363636363636
bankruptcy,gpt-4o,5,2,True,False,1,2,0.5,67/33,0.7727272727272727,0.7058823529411765
bankruptcy,gpt-4o,5,3,True,False,1,2,0.5,67/33,0.75,0.7017543859649122
bankruptcy,gpt-4o,5,4,True,False,1,2,0.5,67/33,0.6597222222222222,0.6357142857142857
bankruptcy,gpt-4o,5,0,True,False,1,2,1,33/67,0.880701754385965,0.880701754385965
bankruptcy,gpt-4o,5,1,True,False,1,2,1,33/67,0.9409722222222222,0.9409722222222222
bankruptcy,gpt-4o,5,2,True,False,1,2,1,33/67,0.8614035087719298,0.8528138528138528
bankruptcy,gpt-4o,5,3,True,False,1,2,1,33/67,0.8071428571428572,0.8131868131868132
bankruptcy,gpt-4o,5,4,True,False,1,2,1,33/67,0.7736842105263158,0.7786046511627907
bankruptcy,gpt-4o,5,0,True,False,1,2,1,50/50,0.8666666666666667,0.8726655348047538
bankruptcy,gpt-4o,5,1,True,False,1,2,1,50/50,0.9198717948717949,0.9198717948717949
bankruptcy,gpt-4o,5,2,True,False,1,2,1,50/50,0.8819444444444444,0.8726655348047538
bankruptcy,gpt-4o,5,3,True,False,1,2,1,50/50,0.827922077922078,0.8333333333333334
bankruptcy,gpt-4o,5,4,True,False,1,2,1,50/50,0.7166666666666667,0.7242647058823529
bankruptcy,gpt-4o,5,0,True,False,1,2,1,67/33,0.7878787878787878,0.7984189723320159
bankruptcy,gpt-4o,5,1,True,False,1,2,1,67/33,0.8819444444444444,0.8819444444444444
bankruptcy,gpt-4o,5,2,True,False,1,2,1,67/33,0.9545454545454546,0.9377289377289377
bankruptcy,gpt-4o,5,3,True,False,1,2,1,67/33,0.8571428571428572,0.8712121212121212
bankruptcy,gpt-4o,5,4,True,False,1,2,1,67/33,0.6597222222222222,0.6357142857142857
bankruptcy,gemini,5,0,True,False,1,2,0,33/67,0.8403508771929824,0.8464317976513098
bankruptcy,gemini,5,1,True,False,1,2,0,33/67,0.75,0.7424242424242424
bankruptcy,gemini,5,2,True,False,1,2,0,33/67,0.7368421052631579,0.6964285714285714
bankruptcy,gemini,5,3,True,False,1,2,0,33/67,0.6892857142857143,0.6421052631578947
bankruptcy,gemini,5,4,True,False,1,2,0,33/67,0.8403508771929824,0.8464317976513098
bankruptcy,gemini,5,0,True,False,1,2,0,50/50,0.9,0.9131944444444444
bankruptcy,gemini,5,1,True,False,1,2,0,50/50,0.7692307692307692,0.75
bankruptcy,gemini,5,2,True,False,1,2,0,50/50,0.75,0.6794871794871795
bankruptcy,gemini,5,3,True,False,1,2,0,50/50,0.7045454545454546,0.6753246753246753
bankruptcy,gemini,5,4,True,False,1,2,0,50/50,0.7666666666666666,0.7771836007130125
bankruptcy,gemini,5,0,True,False,1,2,0,67/33,0.8333333333333333,0.8583333333333334
bankruptcy,gemini,5,1,True,False,1,2,0,67/33,0.7777777777777778,0.7571428571428571
bankruptcy,gemini,5,2,True,False,1,2,0,67/33,0.7727272727272727,0.7058823529411765
bankruptcy,gemini,5,3,True,False,1,2,0,67/33,0.7285714285714285,0.7058823529411765
bankruptcy,gemini,5,4,True,False,1,2,0,67/33,0.7152777777777778,0.7017543859649122
bankruptcy,gemini,5,0,True,False,1,2,0.5,33/67,0.6964912280701754,0.6739319965126417
bankruptcy,gemini,5,1,True,False,1,2,0.5,33/67,0.5,0.32
bankruptcy,gemini,5,2,True,False,1,2,0.5,33/67,0.5614035087719298,0.5492424242424242
bankruptcy,gemini,5,3,True,False,1,2,0.5,33/67,0.675,0.6007226738934056
bankruptcy,gemini,5,4,True,False,1,2,0.5,33/67,0.7,0.6899696048632218
bankruptcy,gemini,5,0,True,False,1,2,0.5,50/50,0.8333333333333333,0.8
bankruptcy,gemini,5,1,True,False,1,2,0.5,50/50,0.5,0.34210526315789475
bankruptcy,gemini,5,2,True,False,1,2,0.5,50/50,0.4861111111111111,0.47619047619047616
bankruptcy,gemini,5,3,True,False,1,2,0.5,50/50,0.7142857142857143,0.6666666666666666
bankruptcy,gemini,5,4,True,False,1,2,0.5,50/50,0.75,0.7619047619047619
bankruptcy,gemini,5,0,True,False,1,2,0.5,67/33,0.8636363636363636,0.8210526315789474
bankruptcy,gemini,5,1,True,False,1,2,0.5,67/33,0.5,0.34615384615384615
bankruptcy,gemini,5,2,True,False,1,2,0.5,67/33,0.5757575757575758,0.575
bankruptcy,gemini,5,3,True,False,1,2,0.5,67/33,0.75,0.7017543859649122
bankruptcy,gemini,5,4,True,False,1,2,0.5,67/33,0.7222222222222222,0.6886446886446886
bankruptcy,gemini,5,0,True,False,1,2,1,33/67,0.7403508771929824,0.7424242424242424
bankruptcy,gemini,5,1,True,False,1,2,1,33/67,0.75,0.7424242424242424
bankruptcy,gemini,5,2,True,False,1,2,1,33/67,0.6771929824561403,0.6357142857142857
bankruptcy,gemini,5,3,True,False,1,2,1,33/67,0.725,0.6693191865605659
bankruptcy,gemini,5,4,True,False,1,2,1,33/67,0.8403508771929824,0.8464317976513098
bankruptcy,gemini,5,0,True,False,1,2,1,50/50,0.7,0.7023809523809523
bankruptcy,gemini,5,1,True,False,1,2,1,50/50,0.7692307692307692,0.75
bankruptcy,gemini,5,2,True,False,1,2,1,50/50,0.6944444444444444,0.64
bankruptcy,gemini,5,3,True,False,1,2,1,50/50,0.75,0.7126436781609196
bankruptcy,gemini,5,4,True,False,1,2,1,50/50,0.7666666666666666,0.7771836007130125
bankruptcy,gemini,5,0,True,False,1,2,1,67/33,0.5833333333333334,0.5502645502645502
bankruptcy,gemini,5,1,True,False,1,2,1,67/33,0.7777777777777778,0.7571428571428571
bankruptcy,gemini,5,2,True,False,1,2,1,67/33,0.8181818181818181,0.7638888888888888
bankruptcy,gemini,5,3,True,False,1,2,1,67/33,0.75,0.7017543859649122
bankruptcy,gemini,5,4,True,False,1,2,1,67/33,0.7152777777777778,0.7017543859649122
bankruptcy,claude,5,0,True,False,1,2,0,33/67,0.643859649122807,0.6091954022988506
bankruptcy,claude,5,1,True,False,1,2,0,33/67,0.5729166666666666,0.5392953929539295
bankruptcy,claude,5,2,True,False,1,2,0,33/67,0.587719298245614,0.5729468599033817
bankruptcy,claude,5,3,True,False,1,2,0,33/67,0.675,0.678030303030303
bankruptcy,claude,5,4,True,False,1,2,0,33/67,0.6175438596491228,0.575
bankruptcy,claude,5,0,True,False,1,2,0,50/50,0.6333333333333333,0.5993589743589745
bankruptcy,claude,5,1,True,False,1,2,0,50/50,0.6314102564102564,0.6179966044142615
bankruptcy,claude,5,2,True,False,1,2,0,50/50,0.5173611111111112,0.503968253968254
bankruptcy,claude,5,3,True,False,1,2,0,50/50,0.6558441558441558,0.6527777777777778
bankruptcy,claude,5,4,True,False,1,2,0,50/50,0.6166666666666667,0.548440065681445
bankruptcy,claude,5,0,True,False,1,2,0,67/33,0.5606060606060606,0.5277777777777778
bankruptcy,claude,5,1,True,False,1,2,0,67/33,0.5138888888888888,0.48484848484848486
bankruptcy,claude,5,2,True,False,1,2,0,67/33,0.5757575757575758,0.575
bankruptcy,claude,5,3,True,False,1,2,0,67/33,0.6142857142857143,0.6136363636363636
bankruptcy,claude,5,4,True,False,1,2,0,67/33,0.6319444444444444,0.6136363636363636
bankruptcy,claude,5,0,True,False,1,2,0.5,33/67,0.643859649122807,0.6091954022988506
bankruptcy,claude,5,1,True,False,1,2,0.5,33/67,0.6354166666666666,0.5888372093023255
bankruptcy,claude,5,2,True,False,1,2,0.5,33/67,0.587719298245614,0.5729468599033817
bankruptcy,claude,5,3,True,False,1,2,0.5,33/67,0.675,0.678030303030303
bankruptcy,claude,5,4,True,False,1,2,0.5,33/67,0.6175438596491228,0.575
bankruptcy,claude,5,0,True,False,1,2,0.5,50/50,0.6333333333333333,0.5993589743589745
bankruptcy,claude,5,1,True,False,1,2,0.5,50/50,0.6698717948717949,0.6527777777777778
bankruptcy,claude,5,2,True,False,1,2,0.5,50/50,0.5173611111111112,0.503968253968254
bankruptcy,claude,5,3,True,False,1,2,0.5,50/50,0.6558441558441558,0.6527777777777778
bankruptcy,claude,5,4,True,False,1,2,0.5,50/50,0.6166666666666667,0.548440065681445
bankruptcy,claude,5,0,True,False,1,2,0.5,67/33,0.5606060606060606,0.5277777777777778
bankruptcy,claude,5,1,True,False,1,2,0.5,67/33,0.5694444444444444,0.5296442687747036
bankruptcy,claude,5,2,True,False,1,2,0.5,67/33,0.5757575757575758,0.575
bankruptcy,claude,5,3,True,False,1,2,0.5,67/33,0.6142857142857143,0.6136363636363636
bankruptcy,claude,5,4,True,False,1,2,0.5,67/33,0.6319444444444444,0.6136363636363636
bankruptcy,claude,5,0,True,False,1,2,1,33/67,0.6771929824561403,0.6357142857142857
bankruptcy,claude,5,1,True,False,1,2,1,33/67,0.6354166666666666,0.5888372093023255
bankruptcy,claude,5,2,True,False,1,2,1,33/67,0.587719298245614,0.5729468599033817
bankruptcy,claude,5,3,True,False,1,2,1,33/67,0.725,0.7312252964426877
bankruptcy,claude,5,4,True,False,1,2,1,33/67,0.6508771929824562,0.6007226738934056
bankruptcy,claude,5,0,True,False,1,2,1,50/50,0.6833333333333333,0.6376811594202898
bankruptcy,claude,5,1,True,False,1,2,1,50/50,0.6698717948717949,0.6527777777777778
bankruptcy,claude,5,2,True,False,1,2,1,50/50,0.5173611111111112,0.503968253968254
bankruptcy,claude,5,3,True,False,1,2,1,50/50,0.7272727272727273,0.7242647058823529
bankruptcy,claude,5,4,True,False,1,2,1,50/50,0.6666666666666666,0.5833333333333333
bankruptcy,claude,5,0,True,False,1,2,1,67/33,0.6439393939393939,0.5882352941176471
bankruptcy,claude,5,1,True,False,1,2,1,67/33,0.5694444444444444,0.5296442687747036
bankruptcy,claude,5,2,True,False,1,2,1,67/33,0.5757575757575758,0.575
bankruptcy,claude,5,3,True,False,1,2,1,67/33,0.7142857142857143,0.7166666666666667
bankruptcy,claude,5,4,True,False,1,2,1,67/33,0.6875,0.6640316205533596
boxing1,gpt-4o,5,0,True,False,1,2,0,33/67,0.6254901960784314,0.628377230246389
boxing1,gpt-4o,5,1,True,False,1,2,0,33/67,0.40625,0.4067321178120617
boxing1,gpt-4o,5,2,True,False,1,2,0,33/67,0.5685714285714285,0.5684426229508197
boxing1,gpt-4o,5,3,True,False,1,2,0,33/67,0.42082210242587603,0.40294840294840295
boxing1,gpt-4o,5,4,True,False,1,2,0,33/67,0.39721485411140584,0.38035495716034273
boxing1,gpt-4o,5,0,True,False,1,2,0,50/50,0.625,0.625
boxing1,gpt-4o,5,1,True,False,1,2,0,50/50,0.42825361512791993,0.41714285714285715
boxing1,gpt-4o,5,2,True,False,1,2,0,50/50,0.5515873015873016,0.5459976105137395
boxing1,gpt-4o,5,3,True,False,1,2,0,50/50,0.373015873015873,0.3552036199095022
boxing1,gpt-4o,5,4,True,False,1,2,0,50/50,0.4285714285714286,0.3939393939393939
boxing1,gpt-4o,5,0,True,False,1,2,0,67/33,0.7147335423197492,0.7023809523809523
boxing1,gpt-4o,5,1,True,False,1,2,0,67/33,0.393483709273183,0.38618925831202044
boxing1,gpt-4o,5,2,True,False,1,2,0,67/33,0.46438746438746437,0.42652329749103945
boxing1,gpt-4o,5,3,True,False,1,2,0,67/33,0.3205128205128205,0.3142857142857143
